,trip_count
2016-01,516957
2016-02,569124
2016-03,933432
2016-04,1029491
2016-05,1231768
2016-06,1484265
2016-07,1404546
2016-08,1591812
2016-09,1682281
2016-10,1603483
2016-11,1218774
2016-12,827306
