,total_trips,long_trips,percent_long_trips
Pershing Square North,111892,600,0.54
West St & Chambers St,78352,1261,1.61
W 21 St & 6 Ave,76373,279,0.37
E 17 St & Broadway,75591,476,0.63
Broadway & E 22 St,73865,375,0.51
W 20 St & 11 Ave,63596,591,0.93
8 Ave & W 33 St,63508,415,0.65
12 Ave & W 40 St,63138,1327,2.1
Greenwich Ave & 8 Ave,62992,389,0.62
Cleveland Pl & Spring St,62697,620,0.99
