station,total_trips,long_trips,percent_long_trips
Central Park S & 6 Ave,58550,4655,7.95
Grand Army Plaza & Central Park S,42941,2932,6.83
5 Ave & E 78 St,34363,2053,5.97
5 Ave & E 73 St,34946,1741,4.98
Central Park West & W 85 St,35025,1670,4.77
Centre St & Chambers St,49720,1606,3.23
Central Park West & W 72 St,32779,1429,4.36
Broadway & W 60 St,46229,1379,2.98
12 Ave & W 40 St,63138,1327,2.1
West St & Chambers St,78352,1261,1.61
