,count
16,6097
17,21419
18,39353
19,62921
20,78162
21,107952
22,146415
23,244667
24,374029
25,455396
26,500621
27,542009
28,552735
29,549165
30,530478
31,527532
32,521953
33,480065
34,448131
35,419249
36,388383
37,355003
38,328765
39,302143
40,283479
41,278323
42,256338
43,255870
44,237590
45,234573
46,245486
47,264622
48,240014
49,218579
50,200077
51,185339
52,192354
53,187156
54,175711
55,173068
56,147926
57,151768
58,131438
59,119498
60,108429
61,95876
62,77637
63,74347
64,66204
65,45346
66,39727
67,29875
68,24075
69,21328
70,20865
71,16074
72,9340
73,7712
74,5864
75,8298
76,6026
77,3814
78,1022
79,1552
80,1075
81,870
82,432
83,666
84,376
85,555
86,481
87,78
88,185
89,69
90,121
91,157
94,777
96,128
97,9
99,139
100,208
101,31
102,21
104,39
105,223
107,285
110,39
112,3
116,327
117,3463
118,235
