station,total_trips,long_trips,percent_long_trips
Grand Army Plaza & Central Park S,74006,9360,12.65
Central Park S & 6 Ave,69521,3442,4.95
Centre St & Chambers St,63523,1815,2.86
Central Park North & Adam Clayton Powell Blvd,40087,1581,3.94
5 Ave & E 88 St,39491,1555,3.94
Central Park West & W 72 St,44422,1554,3.5
5 Ave & E 73 St,43693,1444,3.3
12 Ave & W 40 St,79632,1382,1.74
Broadway & W 60 St,63803,1359,2.13
Central Park West & W 76 St,26044,1265,4.86
