,trip_count
2017-01,739602
2017-02,805673
2017-03,739866
2017-04,1336590
2017-05,1549234
2017-06,1763654
2017-07,1769172
2017-08,1851970
2017-09,1911217
2017-10,1932511
2017-11,1354231
2017-12,905865
