,total_trips,long_trips,percent_long_trips
Pershing Square North,135906,570,0.42
E 17 St & Broadway,95863,420,0.44
West St & Chambers St,95233,1152,1.21
Broadway & E 22 St,93083,392,0.42
W 21 St & 6 Ave,90696,274,0.3
8 Ave & W 31 St,84393,368,0.44
8 Ave & W 33 St,80336,430,0.54
12 Ave & W 40 St,79632,1382,1.74
W 20 St & 11 Ave,77897,557,0.72
Grand Army Plaza & Central Park S,74006,9360,12.65
