hour,crash_count
0,4
1,7
2,3
3,1
4,1
6,6
7,14
8,38
9,35
10,21
11,42
12,59
13,86
14,66
15,66
16,72
17,127
18,116
19,75
20,47
21,35
22,19
23,5
