station,total_trips,long_trips,percent_long_trips
Central Park S & 6 Ave,87013,8174,9.39
Grand Army Plaza & Central Park S,81020,7522,9.28
7 Ave & Central Park South,75416,6755,8.96
Broadway & W 58 St,114293,5182,4.53
5 Ave & E 87 St,56210,4045,7.2
5 Ave & E 72 St,69281,3513,5.07
Central Park West & W 72 St,67208,3459,5.15
12 Ave & W 40 St,90414,3074,3.4
Central Park West & W 68 St,64026,3038,4.74
West St & Chambers St,123291,2778,2.25
