year,month,trip_count,crash_count,percentage
2021,1,1,0,0.0
2021,2,1,0,0.0
2021,3,3,0,0.0
2021,4,1,0,0.0
2021,6,1,0,0.0
2021,7,4,0,0.0
2021,8,1,0,0.0
2021,9,3,0,0.0
2021,10,1,0,0.0
2021,11,11,0,0.0
2021,12,613,0,0.0
2022,1,1050817,21,0.0019984450194467734
2022,2,1229270,20,0.0016269818672870892
2022,3,1897706,41,0.0021605032602521152
2022,4,2323867,55,0.00236674474055529
2022,5,2945783,106,0.0035983641700695537
2022,6,3447444,124,0.003596867708365966
2022,7,3506224,108,0.003080236744714542
2022,8,3691413,122,0.0033049675016043993
2022,9,3516156,143,0.004066941284743907
2022,10,3025517,98,0.0032391158271462364
2022,11,2459059,85,0.0034566067751932755
2022,12,1640395,22,0.0013411403960631432
