,total_trips,long_trips,percent_long_trips
W 21 St & 6 Ave,129018,1078,0.84
West St & Chambers St,123291,2778,2.25
Broadway & W 58 St,114293,5182,4.53
6 Ave & W 33 St,106445,1652,1.55
1 Ave & E 68 St,104856,971,0.93
Broadway & E 14 St,98866,1341,1.36
Broadway & W 25 St,98425,1490,1.51
University Pl & E 14 St,97126,1350,1.39
Broadway & E 21 St,95691,1232,1.29
W 31 St & 7 Ave,94208,1199,1.27
