station,total_trips,long_trips,percent_long_trips
Central Park S & 6 Ave,28610,3149,11.01
Grand Army Plaza & Central Park S,28128,1970,7.0
Broadway & W 58 St,34250,1243,3.63
Broadway & W 60 St,35840,1014,2.83
Centre St & Chambers St,32473,843,2.6
W 56 St & 6 Ave,24085,842,3.5
West St & Chambers St,44806,554,1.24
Broadway & W 49 St,23936,535,2.24
Vesey Pl & River Terrace,35052,529,1.51
12 Ave & W 40 St,22055,521,2.36
