,total_trips,long_trips,percent_long_trips
E 17 St & Broadway,55371,416,0.75
W 20 St & 11 Ave,51783,491,0.95
Lafayette St & E 8 St,51166,306,0.6
Pershing Square N,50340,368,0.73
8 Ave & W 31 St,48405,338,0.7
Broadway & E 14 St,47398,353,0.74
West St & Chambers St,44806,554,1.24
W 21 St & 6 Ave,41037,229,0.56
Cleveland Pl & Spring St,40161,395,0.98
W 41 St & 8 Ave,40074,369,0.92
