,count
0,64950
1,37338
2,22952
3,13558
4,11113
5,25139
6,99837
7,215861
8,392549
9,331137
10,236267
11,256435
12,314350
13,330428
14,331021
15,348151
16,404944
17,545081
18,526558
19,387251
20,269116
21,193827
22,151527
23,105498
