,total_trips,long_trips,percent_long_trips
W 21 St & 6 Ave,127340,453,0.36
Pier 61 at Chelsea Piers,119949,991,0.83
West St & Chambers St,113507,1479,1.3
Lafayette St & E 8 St,112281,624,0.56
W 31 St & 7 Ave,104748,728,0.7
9 Ave & W 33 St,103189,536,0.52
Broadway & E 14 St,101400,621,0.61
11 Ave & W 41 St,101338,569,0.56
Broadway & W 58 St,100103,3856,3.85
University Pl & E 14 St,99484,545,0.55
