hour,crash_count
0,11
1,5
2,1
3,1
5,5
6,5
7,24
8,56
9,62
10,60
11,43
12,65
13,70
14,74
15,79
16,97
17,175
18,99
19,84
20,59
21,37
22,29
23,17
