station,total_trips,long_trips,percent_long_trips
Central Park S & 6 Ave,88015,7715,8.77
7 Ave & Central Park South,90445,6892,7.62
Central Park S & Grand Army Plaza,65243,5571,8.54
Broadway & W 58 St,100103,3856,3.85
5 Ave & E 87 St,55556,2997,5.39
Central Park W & W 72 St,61350,2576,4.2
5 Ave & E 72 St,61388,2534,4.13
Central Park W & W 68 St,65495,2494,3.81
Central Park North & Adam Clayton Powell Blvd,41264,1898,4.6
Central Park W & W 76 St,38971,1840,4.72
