year,month,trip_count,crash_count,percentage
2018,1,731671,18,0.0024601221040604316
2018,2,858218,21,0.002446930733216968
2018,3,993781,37,0.0037231542965703713
2018,4,1331177,34,0.002554130667822536
2018,5,1859166,65,0.0034961913029820896
2018,6,1994040,47,0.0023570239313153198
2018,7,1955893,55,0.0028120147676790087
2018,8,2021609,63,0.003116329616656831
2018,9,1916906,59,0.0030778765364603165
2018,10,1917795,45,0.0023464447451369934
2018,11,1285265,25,0.0019451241572749588
2018,12,1036710,21,0.002025638799664323
