,count
16,6947
17,23571
18,50012
19,82429
20,107710
21,140812
22,181586
23,312397
24,436037
25,571099
26,633392
27,672158
28,712511
29,709829
30,730652
31,658052
32,632820
33,622698
34,570706
35,526106
36,506618
37,469691
38,428072
39,396849
40,359087
41,342559
42,333784
43,320036
44,301585
45,298291
46,289334
47,298200
48,322487
49,1686289
50,266840
51,259410
52,239846
53,233860
54,234753
55,224694
56,212659
57,184748
58,191375
59,162932
60,143745
61,133839
62,121679
63,89587
64,88853
65,76615
66,50796
67,46219
68,35342
69,27833
70,27065
71,24058
72,19523
73,9815
74,8855
75,7372
76,9483
77,7033
78,4822
79,1642
80,1641
81,2424
82,1028
83,945
84,832
85,577
86,776
87,245
88,363
89,113
90,6
91,7
92,36
93,2
94,347
95,1433
96,19
97,232
98,7
99,89
100,133
101,143
102,62
103,28
105,15
106,457
107,18
108,350
109,164
111,66
112,3
117,509
118,6167
119,254
