,count
0,156293
1,87250
2,50905
3,31657
4,33553
5,116764
6,393001
7,831956
8,1455681
9,1133159
10,799704
11,839888
12,971732
13,1015850
14,1033953
15,1088126
16,1271259
17,1739949
18,1663410
19,1157968
20,788728
21,555952
22,412845
23,272648
