,trip_count
2018-01,731671
2018-02,858218
2018-03,993781
2018-04,1331177
2018-05,1859166
2018-06,1994040
2018-07,1955893
2018-08,2021609
2018-09,1916906
2018-10,1917795
2018-11,1285265
2018-12,1036710
