,total_trips,long_trips,percent_long_trips
Pershing Square North,150257,576,0.38
E 17 St & Broadway,108883,444,0.41
W 21 St & 6 Ave,107165,295,0.28
Broadway & E 22 St,105605,434,0.41
West St & Chambers St,94466,1014,1.07
Broadway & E 14 St,93370,487,0.52
W 41 St & 8 Ave,87956,417,0.47
8 Ave & W 33 St,85293,525,0.62
Broadway & W 60 St,84963,2013,2.37
Lafayette St & E 8 St,83025,346,0.42
