,count
0,400285
1,248732
2,163913
3,102993
4,84998
5,175709
6,521209
7,1000014
8,1474182
9,1294796
10,1253166
11,1423945
12,1639914
13,1748595
14,1879429
15,1988642
16,2150193
17,2485353
18,2410554
19,1845278
20,1256697
21,903117
22,743377
23,579474
