year,month,trip_count,crash_count,percentage
2019,4,1,0,0.0
2019,5,3,0,0.0
2019,6,1,0,0.0
2019,7,3,0,0.0
2019,8,3,0,0.0
2019,9,5,0,0.0
2019,10,2,0,0.0
2019,12,3,0,0.0
2020,2,4,0,0.0
2020,3,9,0,0.0
2020,4,7,0,0.0
2020,5,31,0,0.0
2020,6,50,0,0.0
2020,7,97,0,0.0
2020,8,87,0,0.0
2020,9,104,0,0.0
2020,10,132,0,0.0
2020,11,114,0,0.0
2020,12,353,0,0.0
2021,1,1109598,18,0.0016222091243855883
2021,2,641639,5,0.0007792543782407242
2021,3,1517155,30,0.0019773853034132966
2021,4,2050026,46,0.002243873980134886
2021,5,2715239,93,0.0034251128537856157
2021,6,3184846,108,0.003391058782748051
2021,7,3104428,79,0.002544752205559285
2021,8,3106369,96,0.0030904248658160057
2021,9,3317128,103,0.003105095733417583
2021,10,3099665,102,0.0032906781861910886
2021,11,2173198,75,0.003451135147372674
2021,12,1754265,51,0.002907200451471129
