station,total_trips,long_trips,percent_long_trips
Liberty Light Rail,14305,37,0.26
Warren St,12022,25,0.21
Hamilton Park,18816,23,0.12
Newport Pkwy,21538,20,0.09
Harborside,14478,16,0.11
JC Medical Center,9993,10,0.1
Newport PATH,17959,9,0.05
Washington St,13110,8,0.06
Grove St PATH,29485,8,0.03
Columbus Dr at Exchange Pl,14872,8,0.05
