,total_trips,long_trips,percent_long_trips
W 21 St & 6 Ave,127097,0,0.0
E 17 St & Broadway,121823,0,0.0
1 Ave & E 68 St,110699,0,0.0
West St & Chambers St,107904,0,0.0
Broadway & W 25 St,100441,0,0.0
Cleveland Pl & Spring St,99526,0,0.0
Broadway & E 14 St,98002,0,0.0
E 13 St & Avenue A,95132,0,0.0
6 Ave & W 33 St,94800,0,0.0
West St & Liberty St,93978,0,0.0
