station,total_trips,long_trips,percent_long_trips
Grand Army Plaza & Central Park S,77736,5005,6.44
Central Park S & 6 Ave,75587,4170,5.52
7 Ave & Central Park South,53314,2911,5.46
Broadway & W 60 St,103167,2669,2.59
Central Park West & W 72 St,60369,2311,3.83
5 Ave & E 88 St,55140,2170,3.94
5 Ave & E 78 St,40205,1715,4.27
Central Park West & W 68 St,53926,1704,3.16
5 Ave & E 73 St,53139,1675,3.15
Centre St & Chambers St,61517,1630,2.65
