year,month,trip_count,crash_count,percentage
2019,1,986963,14,0.0014184928918307982
2019,2,962309,41,0.004260585737013787
2019,3,1351566,47,0.0034774476422165103
2019,4,1799150,75,0.004168635188839175
2019,5,1960698,83,0.004233186344862901
2019,6,2164800,59,0.0027254249815225427
2019,7,2224810,85,0.003820550968397302
2019,8,2392935,67,0.0027999088984865866
2019,9,2494144,94,0.003768828102948346
2019,10,2134826,85,0.003981589131854306
2019,11,1509505,46,0.003047356583780776
2019,12,974938,11,0.0011282768750423104
