,count
0,188112
1,106839
2,65251
3,42204
4,45857
5,143724
6,454535
7,961677
8,1673244
9,1332674
10,955464
11,994410
12,1140559
13,1182299
14,1221518
15,1287952
16,1480977
17,2041376
18,1919995
19,1344290
20,919220
21,645139
22,486205
23,323123
