,trip_count
2019-01,986963
2019-02,962309
2019-03,1351566
2019-04,1799150
2019-05,1960698
2019-06,2164800
2019-07,2224810
2019-08,2392935
2019-09,2494144
2019-10,2134826
2019-11,1509505
2019-12,974938
