,total_trips,long_trips,percent_long_trips
Pershing Square North,104813,835,0.8
8 Ave & W 31 St,100796,662,0.66
Lafayette St & E 8 St,95890,587,0.61
W 21 St & 6 Ave,87149,413,0.47
E 17 St & Broadway,86108,639,0.74
West St & Chambers St,79061,1384,1.75
Broadway & E 14 St,73682,471,0.64
Cleveland Pl & Spring St,70374,706,1.0
Greenwich Ave & 8 Ave,67950,524,0.77
Broadway & E 22 St,67497,436,0.65
