year,month,trip_count,crash_count,percentage
2015,1,285552,5,0.0017509945649128707
2015,2,196929,5,0.0025389861320577467
2015,3,341826,9,0.0026329185023959557
2015,4,652390,29,0.004445193825779059
2015,5,961986,25,0.0025987904189873866
2015,6,941219,56,0.005949731146523816
2015,7,1085676,35,0.003223797891820396
2015,8,1179044,75,0.006361085761006374
2015,9,1296367,68,0.005245428185074135
2015,10,1231541,56,0.004547148653597404
2015,11,1002358,80,0.00798118037667181
2015,12,815963,26,0.003186418992037629
