,count
16,4199
17,13454
18,17430
19,31769
20,43858
21,66065
22,91257
23,144111
24,217789
25,292509
26,321550
27,315635
28,330548
29,337001
30,357916
31,355731
32,353397
33,309485
34,305214
35,273904
36,243855
37,241212
38,224525
39,215153
40,200149
41,204091
42,181853
43,186154
44,195298
45,218258
46,195066
47,168955
48,161112
49,144985
50,154430
51,152591
52,149281
53,140301
54,116867
55,128087
56,107320
57,102740
58,90054
59,81093
60,68909
61,70641
62,61273
63,42217
64,41849
65,27978
66,22313
67,22937
68,18024
69,11741
70,8553
71,8465
72,4407
73,9710
74,6813
75,4893
76,1312
77,2198
78,462
79,667
80,545
81,351
82,25
83,428
84,14
85,130
86,1
88,7
89,115
90,16
93,124
94,4
95,9
97,40
98,23
102,43
105,177
108,24
114,275
115,1606
116,281
119,14
