ride_id,bike_type,starttime,stoptime,start station name,start_station_id,end station name,end_station_id,start station latitude,start station longitude,end station latitude,end station longitude,usertype,tripduration,bike_id,birth year,gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m,CRASH_LATITUDE,CRASH_LONGITUDE,CRASH_DATETIME
36E88AB869EFFE61,classic_bike,2020-02-14 12:15:24.679,2020-02-14 12:19:47.599,E 24 St & Park Ave S,6131.1,Broadway & E 14 St,5905.12,40.740964,-73.986022,40.734546,-73.990741,member,,,,,start,4288440,91.55686006359306,727.0086913488153,40.740185,-73.986374,2020-02-14 12:20:00
2506CC8886F5D221,classic_bike,2020-02-17 12:55:12.008,2020-02-17 13:12:46.903,E 116 St & 2 Ave,7563.06,E 115 St & Lexington Ave,7599.09,40.796879,-73.937261,40.797911,-73.9423,member,,,,,end,4292358,530.5098956728848,95.95382125709168,40.79841,-73.94323,2020-02-17 12:55:00
562C1F56E3ACFA37,classic_bike,2020-02-20 16:52:46.308,2020-02-20 17:09:29.897,W 17 St & 8 Ave,6148.02,Broadway & W 60 St,6948.11,40.741776,-74.001497,40.769155,-73.981918,member,,,,,end,4291470,3429.178256296571,33.214426928823464,40.76889,-73.9821,2020-02-20 17:09:00
DCA79B4AC380471B,classic_bike,2020-02-20 17:09:28.019,2020-02-20 17:14:19.917,Grand Army Plaza & Central Park S,6839.1,Broadway & W 60 St,6948.11,40.764397,-73.973715,40.769155,-73.981918,member,,,,,end,4291470,865.0167547025336,33.214426928823464,40.76889,-73.9821,2020-02-20 17:09:00
2059B834D84E3336,classic_bike,2020-02-20 17:09:57.035,2020-02-20 17:26:31.601,Broadway & W 60 St,6948.11,W 110 St & Amsterdam Ave,7646.04,40.769155,-73.981918,40.802692,-73.96295,member,,,,,start,4291470,33.214426928823464,4089.821510771223,40.76889,-73.9821,2020-02-20 17:09:00
282B11E1228A2CDE,classic_bike,2020-02-21 20:08:57.609,2020-02-21 20:24:38.693,8 Ave & W 33 St,6450.12,Lexington Ave & E 26 St,6089.08,40.751551,-73.993934,40.741459,-73.983293,member,,,,,start,4292677,81.09418672731579,1469.2910384846782,40.75219,-73.99347,2020-02-21 20:25:00
40134F073851F55F,classic_bike,2020-02-21 20:25:19.626,2020-02-21 20:37:02.391,W 56 St & 10 Ave,6955.01,8 Ave & W 33 St,6450.12,40.768254,-73.988639,40.751551,-73.993934,member,,,,,end,4292677,1831.9945015057856,81.09418672731579,40.75219,-73.99347,2020-02-21 20:25:00
96F7D481AA28C6B6,classic_bike,2020-02-22 15:00:38.096,2020-02-22 15:10:55.303,Hanson Pl & Ashland Pl,4395.07,Willoughby Ave & Walworth St,4634.02,40.685068,-73.977908,40.693317,-73.95382,member,,,,,start,4291927,42.96972847991084,2186.488458579999,40.68515,-73.97741,2020-02-22 15:00:00
59717A5E61DCE5D9,classic_bike,2020-02-22 17:42:48.266,2020-02-22 17:46:23.524,W 45 St & 8 Ave,6676.02,Broadway & W 49 St,6708.02,40.759291,-73.988597,40.760683,-73.984527,member,,,,,end,4292050,395.69091363900316,81.82322760158671,40.76006,-73.98401,2020-02-22 17:47:00
0254CC926076E049,classic_bike,2020-02-24 17:00:00.373,2020-02-24 17:05:30.923,10 Ave & W 28 St,6459.04,W 24 St & 7 Ave,6257.03,40.750664,-74.001768,40.744876,-73.995299,member,,,,,end,4292971,860.016584845503,16.696983205028932,40.744762,-73.99517,2020-02-24 17:00:00
78870C938F6E0911,classic_bike,2020-02-24 18:11:46.940,2020-02-24 18:18:52.729,31 Ave & Steinway St,6782.01,31 Ave & Steinway St,6782.01,40.761149,-73.917007,40.761149,-73.917007,member,,,,,both,4293628,84.25683675783557,84.25683675783557,40.76163,-73.91778,2020-02-24 18:11:00
