year,month,trip_count,crash_count,percentage
2019,1,1,0,0.0
2019,2,1,0,0.0
2019,3,1,0,0.0
2019,4,11,0,0.0
2019,5,12,0,0.0
2019,6,15,0,0.0
2019,7,27,0,0.0
2019,8,36,0,0.0
2019,9,151,0,0.0
2019,10,44,0,0.0
2019,11,27,0,0.0
2019,12,184,0,0.0
2020,1,1269410,17,0.0013392048274395191
2020,2,1172524,18,0.0015351498135645837
2020,3,1089147,25,0.0022953742699562134
2020,4,693834,11,0.0015853936244116025
2020,5,1517381,28,0.0018452847373204224
2020,6,1925433,66,0.003427800396066755
2020,7,2151069,71,0.003300684450382577
2020,8,2378939,77,0.003236737049583869
2020,9,2535695,83,0.0032732643318695662
2020,10,2285153,56,0.0024506017758985942
2020,11,1762979,52,0.0029495530009149284
2020,12,1103591,17,0.00154042575555618
