,count
16,25
17,197
18,508
19,1199
20,1743
21,1830
22,2545
23,4414
24,7292
25,7729
26,10287
27,10605
28,13326
29,14258
30,14747
31,16165
32,13901
33,13367
34,12146
35,9109
36,10298
37,9323
38,7565
39,8880
40,7584
41,5022
42,5111
43,6582
44,4055
45,4345
46,2882
47,2648
48,2490
49,2735
50,4985
51,50442
52,3944
53,2505
54,2586
55,1493
56,3573
57,1894
58,2902
59,1217
60,2693
61,3013
62,2136
63,538
64,1375
65,185
66,917
67,835
68,234
69,174
70,89
71,539
72,9
73,53
74,51
75,2
76,18
78,1
79,5
81,2
82,1
87,2
90,4
100,1
120,2
