,total_trips,long_trips,percent_long_trips
1 Ave & E 68 St,101013,0,0.0
West St & Chambers St,99651,0,0.0
W 21 St & 6 Ave,99403,0,0.0
12 Ave & W 40 St,97664,0,0.0
Broadway & W 60 St,92143,0,0.0
E 17 St & Broadway,90307,0,0.0
E 13 St & Avenue A,84856,0,0.0
Christopher St & Greenwich St,84815,0,0.0
Pier 40 - Hudson River Park,80020,0,0.0
Broadway & E 22 St,78444,0,0.0
