,trip_count
2019-01,1
2019-02,1
2019-03,1
2019-04,11
2019-05,12
2019-06,15
2019-07,27
2019-08,36
2019-09,151
2019-10,44
2019-11,27
2019-12,184
2020-01,1269410
2020-02,1172524
2020-03,1089147
2020-04,693834
2020-05,1517381
2020-06,1925433
2020-07,2151069
2020-08,2378939
2020-09,2535695
2020-10,2285153
2020-11,1762979
2020-12,1103591
