station,total_trips,long_trips,percent_long_trips
Liberty Light Rail,16286,3243,19.91
Newport Pkwy,19042,1392,7.31
Marin Light Rail,13059,923,7.07
JC Medical Center,10308,764,7.41
Hamilton Park,14155,747,5.28
Harborside,12276,718,5.85
Columbus Dr at Exchange Pl,12105,665,5.49
Paulus Hook,7791,643,8.25
Grove St PATH,22004,602,2.74
Washington St,8449,596,7.05
