,total_trips,long_trips,percent_long_trips
W 21 St & 6 Ave,163494,718,0.44
8 Ave & W 31 St,140703,1405,1.0
University Pl & E 14 St,140021,905,0.65
Broadway & W 58 St,136421,6024,4.42
West St & Chambers St,135966,2060,1.52
Lafayette St & E 8 St,134509,777,0.58
W 31 St & 7 Ave,128285,945,0.74
Broadway & E 14 St,128199,947,0.74
11 Ave & W 41 St,127610,888,0.7
Broadway & W 25 St,120923,1085,0.9
