,count
0,635394
1,382334
2,244981
3,162915
4,147830
5,320764
6,883530
7,1832729
8,2805886
9,2338203
10,2009012
11,2174785
12,2449072
13,2587727
14,2808940
15,3067791
16,3384519
17,4184689
18,3906381
19,2962768
20,2147254
21,1615022
22,1321228
23,981906
