station,total_trips,long_trips,percent_long_trips
Central Park S & 6 Ave,102586,9651,9.41
7 Ave & Central Park South,103472,8643,8.35
Broadway & W 58 St,136421,6024,4.42
Central Park S & Grand Army Plaza,49080,4555,9.28
5 Ave & E 87 St,73358,3899,5.32
Central Park West & W 72 St,75716,3788,5.0
Grand Army Plaza & Central Park S,38806,3359,8.66
Central Park West & W 68 St,82159,3242,3.95
5 Ave & E 72 St,71221,3029,4.25
5 Ave & E 63 St,40811,2870,7.03
