,trip_count
2023-12,410
2024-01,1938569
2024-02,2177119
2024-03,2728997
2024-04,3296073
2024-05,4232552
2024-06,4894039
2024-07,4835392
2024-08,4710398
2024-09,5112842
2024-10,5269026
2024-11,3794514
2024-12,2365729
