,count
16,4000
17,11064
18,14946
19,28608
20,38297
21,58939
22,72140
23,127322
24,218892
25,247589
26,264843
27,273918
28,296038
29,308572
30,310087
31,312521
32,278774
33,274964
34,252250
35,233729
36,225024
37,205522
38,192350
39,175075
40,182362
41,162805
42,162764
43,162788
44,183750
45,169242
46,144277
47,142338
48,129208
49,127822
50,130578
51,131952
52,118701
53,96945
54,108749
55,90718
56,86138
57,73901
58,69180
59,58277
60,59507
61,53411
62,35847
63,36973
64,25923
65,20852
66,21830
67,15817
68,11055
69,8866
70,7944
71,4455
72,7471
73,6229
74,3274
75,1131
76,1897
77,405
78,738
79,794
80,570
81,349
82,264
83,24
84,33
85,5
87,17
88,208
89,6
90,46
92,158
93,116
94,8
97,89
101,4
104,136
107,58
113,617
114,2067
115,351
