,count
0,79263
1,44750
2,26906
3,16510
4,15586
5,41996
6,167835
7,340978
8,606419
9,506612
10,349764
11,371979
12,441011
13,467007
14,480392
15,504433
16,586475
17,795683
18,762030
19,537931
20,360699
21,251500
22,193379
23,132078
