,total_trips,long_trips,percent_long_trips
8 Ave & W 31 St,100498,516,0.51
Lafayette St & E 8 St,86692,431,0.5
E 17 St & Broadway,80166,457,0.57
W 21 St & 6 Ave,73448,357,0.49
Broadway & E 14 St,65852,394,0.6
West St & Chambers St,63221,698,1.1
Broadway & E 22 St,60932,446,0.73
Cleveland Pl & Spring St,60092,497,0.83
University Pl & E 14 St,60072,337,0.56
8 Ave & W 33 St,58711,352,0.6
