station,total_trips,long_trips,percent_long_trips
Central Park S & 6 Ave,32894,4006,12.18
Grand Army Plaza & Central Park S,42058,3351,7.97
Broadway & W 60 St,56115,2118,3.77
Broadway & W 58 St,41576,1391,3.35
Centre St & Chambers St,42485,1008,2.37
12 Ave & W 40 St,37894,823,2.17
W 56 St & 6 Ave,28147,812,2.88
West St & Chambers St,63221,698,1.1
Vesey Pl & River Terrace,53028,653,1.23
South End Ave & Liberty St,45461,572,1.26
