year,month,trip_count,crash_count,percentage
2014,1,300400,3,0.0009986684420772304
2014,2,224736,3,0.0013348996155489107
2014,3,439117,11,0.002505027133998456
2014,4,670780,18,0.002683443155729151
2014,5,866117,50,0.005772892115037576
2014,6,936880,35,0.0037358039450089654
2014,7,968842,76,0.007844416323817506
2014,8,963489,63,0.006538735782141779
2014,9,953887,62,0.006499721665144824
2014,10,828711,24,0.002896063887169351
2014,11,529188,19,0.0035904064340083297
2014,12,399069,5,0.0012529161623679112
