tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,crash_match_type,matched_crash_id,dist_to_crash_start_m,dist_to_crash_end_m
647,2015-01-02 19:50:00,2015-01-02 20:01:00,285.0,Broadway & E 14 St,40.73454567,-73.99074142,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,15121.0,Subscriber,1986.0,1.0,,,,,,,,,,,,,end,3146150,1034.2491878503997,83.65777959474835
270,2015-01-02 19:55:00,2015-01-02 19:59:00,293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,16861.0,Subscriber,1989.0,1.0,,,,,,,,,,,,,end,3146150,768.8916223113205,83.65777959474835
567,2015-01-08 14:26:00,2015-01-08 14:36:00,354.0,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,324.0,DeKalb Ave & Hudson Ave,40.689888,-73.981013,20852.0,Subscriber,1981.0,1.0,,,,,,,,,,,,,end,3150161,1673.250460826993,39.08189379791176
308,2015-01-09 18:39:00,2015-01-09 18:44:00,521.0,8 Ave & W 31 St,40.75044999,-73.99481051,267.0,Broadway & W 36 St,40.75097711,-73.98765428,17016.0,Subscriber,1989.0,1.0,,,,,,,,,,,,,start,3151959,95.85582536441203,660.0080971361502
254,2015-01-09 18:46:00,2015-01-09 18:50:00,489.0,10 Ave & W 28 St,40.75066386,-74.00176802,521.0,8 Ave & W 31 St,40.75044999,-73.99481051,14649.0,Subscriber,1984.0,1.0,,,,,,,,,,,,,end,3151959,556.1484155380905,95.85582536441203
411,2015-02-01 11:29:00,2015-02-01 11:35:00,446.0,W 24 St & 7 Ave,40.74487634,-73.99529885,489.0,10 Ave & W 28 St,40.75066386,-74.00176802,17994.0,Subscriber,1964.0,1.0,,,,,,,,,,,,,end,3162238,894.694598733166,91.61541760847906
737,2015-02-04 19:38:00,2015-02-04 19:50:00,297.0,E 15 St & 3 Ave,40.734232,-73.986923,2012.0,E 27 St & 1 Ave,40.739445,-73.976806,17684.0,Subscriber,1990.0,2.0,,,,,,,,,,,,,start,3164235,73.64824775028384,957.1962653411503
676,2015-02-04 19:39:00,2015-02-04 19:50:00,297.0,E 15 St & 3 Ave,40.734232,-73.986923,2012.0,E 27 St & 1 Ave,40.739445,-73.976806,17038.0,Subscriber,1993.0,1.0,,,,,,,,,,,,,start,3164235,73.64824775028384,957.1962653411503
617,2015-02-07 18:38:00,2015-02-07 18:48:00,404.0,9 Ave & W 14 St,40.7405826,-74.00550867,285.0,Broadway & E 14 St,40.73454567,-73.99074142,15960.0,Subscriber,1959.0,1.0,,,,,,,,,,,,,start,3165329,64.88993984349217,1368.7580889640114
463,2015-02-07 19:52:00,2015-02-07 20:00:00,382.0,University Pl & E 14 St,40.73492695,-73.99200509,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,20160.0,Customer,,0.0,,,,,,,,,,,,,end,3165335,672.6917639085889,91.60332193510742
