,count
0,494771
1,306073
2,197293
3,130038
4,116307
5,257065
6,702577
7,1451092
8,2185567
9,1834549
10,1595133
11,1738501
12,1971153
13,2090089
14,2273436
15,2472469
16,2732080
17,3311800
18,3113212
19,2364808
20,1690003
21,1274945
22,1033925
23,758951
