station,total_trips,long_trips,percent_long_trips
7 Ave & Central Park South,88838,8090,9.11
Central Park S & 6 Ave,82231,8025,9.76
Grand Army Plaza & Central Park S,76121,7147,9.39
Broadway & W 58 St,115745,5115,4.42
5 Ave & E 87 St,61875,4044,6.54
Central Park West & W 72 St,67050,3480,5.19
Central Park West & W 68 St,70840,3198,4.51
5 Ave & E 78 St,53004,3125,5.9
5 Ave & E 63 St,35540,2819,7.93
12 Ave & W 40 St,87072,2694,3.09
