,total_trips,long_trips,percent_long_trips
W 21 St & 6 Ave,139935,913,0.65
Broadway & W 58 St,115745,5115,4.42
West St & Chambers St,110814,2034,1.84
University Pl & E 14 St,107448,958,0.89
11 Ave & W 41 St,107216,1299,1.21
1 Ave & E 68 St,104948,720,0.69
Broadway & W 25 St,102917,1262,1.23
W 31 St & 7 Ave,102698,1093,1.06
6 Ave & W 33 St,99763,1305,1.31
E 17 St & Broadway,98400,997,1.01
